id,title,year,budget,revenue
4211,Mississippi Mermaid,1969,1600000,2627795
4212,I Love Your Work,2003,1600000,3264
4213,Cabin Fever,2016,1500000,30351664
4220,Kickboxer: Vengeance,2016,0,78794
4222,Exotica,1994,1500000,5046118
4226,Nine Queens,2000,0,0
4227,The Gatekeepers,2012,1500000,2592308
4232,Snow Angels,2008,1500000,414404
4233,Unsullied,2015,1500000,510957
4235,I Want Someone to Eat Cheese With,2006,1500000,194568
4236,Mooz-lum,2011,1500000,372239
4237,Hatchet,2006,1500000,240396
4239,Stolen Summer,2002,1500000,119841
4241,The Salon,2005,1500000,139084
4242,Road Hard,2015,1500000,113169
4243,Forty Shades of Blue,2005,1500000,172569
4244,Amigo,2010,1500000,184705
4246,Trucker,2008,1500000,52429
4247,Me You and Five Bucks,2015,1500000,2105
4249,Housebound,2014,1500000,236863
4250,Wal-Mart: The High Cost of Low Price,2005,0,0
4251,Fetching Cody,2005,1500000,0
4252,Last I Heard,2013,1500000,0
4253,Closer to the Moon,2013,0,0
4254,Mutant World,2014,1500000,0
4255,Growing Up Smith,2017,2000000,35312
4256,Checkmate,2015,1500000,0
4257,#Horror,2015,0,0
4258,Wind Walkers,2016,2000000,0
4260,The Holy Girl,2004,0,0
4262,Incident at Loch Ness,2004,1400000,56073
4263,The Dog Lover,2016,2000000,0
4264,GirlHouse,2014,1500000,0
4265,The Blue Room,2014,0,0
4266,House at the End of the Drive,2014,1400000,0
4267,Batman,1966,35000000,411348924
4269,The Ballad of Gregorio Cortez,1983,1305000,909000
4270,The Celebration,1998,0,0
4271,Trees Lounge,1996,1300000,749741
4273,The Basket,2000,1300000,609042
4274,Eddie: The Sleepwalking Cannibal,2012,1400000,1632
4275,Queen of the Mountains,2014,0,0
4276,Def-Con 4,1985,1300000,210904
4277,The Hebrew Hammer,2003,1300000,90213
4278,Neal 'n' Nikki,2005,1300000,329621
4279,The 41YearOld Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2010,0,0
4280,Forget Me Not,2009,1300000,13465
4285,Filly Brown,2013,1250000,2940411
4286,The Lion of Judah,2011,1500000,0
4289,Da Sweet Blood of Jesus,2014,1250000,0
4290,"Sex, Lies, and Videotape",1989,1200000,36741667
4293,The Algerian,2015,1300000,0
4294,The Amazing Catfish,2013,0,0
4295,Monsoon Wedding,2001,1200000,27025600
4296,You Can Count on Me,2000,1200000,10827356
4298,But I'm a Cheerleader,1999,0,0
4301,The Blue Bird,1940,1200000,887000
4303,The Second Mother,2015,0,0
4304,Blue Like Jazz,2012,1200000,595018
4305,Down & Out With The Dolls,2003,1200000,58936
4307,Certifiably Jonathan,2007,1200000,7826
4308,Desire,2011,0,0
4309,The Blade of Don Juan,2013,0,0
4310,Grand Theft Parsons,2003,1200000,0
4311,Extreme Movie,2008,1200000,81338
4313,Below Zero,2011,1200000,0
4314,Crowsnest,2012,1200000,0
4316,Cotton Comes to Harlem,1970,1200000,0
4317,The Wicked Within,2015,1200000,0
4318,Bleeding Hearts,2013,1200000,0
4320,Dead Man's Shoes,2004,1125000,414736
4322,Sex With Strangers,2002,1100000,247740
4323,Dracula: Pages from a Virgin's Diary,2002,1100000,81371
4324,Faith Like Potatoes,2006,1100000,0
4325,Beyond the Black Rainbow,2010,1100000,56491
4327,The Dead Undead,2010,1100000,0
4328,The Vatican Exorcisms,2013,1100000,0
4330,Lake Mungo,2008,1100000,0
4331,Rocket Singh: Salesman of the Year,2009,1070000,5348767
4332,Silent Running,1972,1100000,0
4334,The Sleepwalker,2014,1100000,2636
4340,Chernobyl Diaries,2012,1000000,42411721
4352,Shine a Light,2008,1000000,16173879
4354,Departure,2016,0,0
4356,"Food, Inc.",2008,1000000,4731944
4357,October Baby,2011,1000000,5391992
4358,Next Stop Wonderland,1998,1000000,3465703
4359,The Skeleton Twins,2014,1000000,5797192
4360,Martha Marcy May Marlene,2011,1000000,5438911
4361,Obvious Child,2014,1000000,3324070
4362,Frozen River,2008,1000000,6030129
4363,20 Feet from Stardom,2013,1000000,5892466
4365,Walking and Talking,1996,1000000,1615787
4368,Bubba Ho-tep,2002,1000000,1492895
4369,Slam,1998,1000000,1087521
4372,Orgazmo,1997,1000000,627287
4373,All the Real Girls,2003,1000000,703020
4374,Dream with the Fishes,1997,1000000,542909
4376,Palo Alto,2014,1000000,1156309
4377,Ajami,2009,1000000,2721096
4378,Wristcutters: A Love Story,2006,1000000,473769
4379,I Origins,2014,1000000,852399
4380,The Battle of Shaker Heights,2003,1000000,839145
4383,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,1000000,215559
4384,Guiana 1838,2004,1000000,227241
4385,Lisa Picard Is Famous,2000,1000000,113433
4386,Antarctica: A Year on Ice,2013,1000000,288757
4387,A LEGO Brickumentary,2015,0,0
4388,Hardflip,2012,1000000,96734
4389,Chocolate: Deep Dark Secrets,2005,1000000,1549000
4390,The House of the Devil,2009,900000,102812
4391,The Perfect Host,2010,1000000,51587
4392,Safe Men,1998,1000000,21210
4393,Speedway Junky,1999,1000000,17127
4394,The Last Big Thing,1998,1000000,22434
4395,The Specials,2000,1000000,12996
4396,16 to Life,2009,1000000,11574
4398,Creative Control,2016,1000000,63014
4400,Sparkler,1999,1000000,5494
4401,The Helix... Loaded,2005,1000000,3700
4402,In Her Line of Fire,2006,1000000,884
4403,The Jimmy Show,2002,1000000,703
4404,Heli,2013,1000000,552614
4405,Karachi se Lahore,2015,1000000,17721
4406,Loving Annabelle,2006,1000000,5382
4407,Hits,2014,1000000,15156
4408,Jimmy and Judy,2006,1000000,0
