id,title,year,budget,revenue
1337,Treachery,2013,0,0
1338,Walter,2015,0,0
1341,Carousel of Revenge,2007,0,0
1345,Light from the Darkroom,2014,0,0
1346,The Country Doctor,2016,0,1480000.0
1347,The Maid's Room,2014,0,0
1348,The Harvest (La Cosecha),2011,0,0
135,Black Water Transit,2009,2300000.0,0
1350,Juliet and Alfa Romeo,2015,0,0
1353,High Road,2012,0,0
1360,The R.M.,2003,500000,111200.00000000001
1376,Crazy Stone,2006,400000,0
1379,Good Kill,2015,0,0
1380,The Outrageous Sophie Tucker,2014,0,0
1382,Girls Gone Dead,2012,0,0
1383,Subconscious,2015,0,0
1384,Enter Nowhere,2011,0,0
1385,El Rey de Najayo,2012,0,0
1386,Fight to the Finish,2016,0,0
1387,Alleluia! The Devil's Carnival,2016,0,0
1388,The Sound and the Shadow,2014,0,0
1389,Rodeo Girl,2016,0,0
1391,The Little Ponderosa Zoo,2014,0,0
1392,The Toxic Avenger,1984,500000,800000
1394,Bloody Sunday,2002,200000.0,482117
1395,Diamond Ruff,2015,0,0
1397,Mutual Friends,2014,0,0
1398,Rise of the Entrepreneur: The Search for a Better Way,2014,0,0
1401,Roadside,2013,0,0
1407,Love in the Time of Monsters,2014,0,0
1408,The Beyond,1981,400000,74760000.0
1411,Show Me,2004,900000,0
1412,Cries and Whispers,1972,0,0
1414,Censored Voices,2015,0,0
1417,Rotor DR1,2015,300000,0
1422,The Big Swap,1998,0,31145
1430,Royal Kill,2009,350000,50090
1433,Midnight Cabaret,1990,0,0
1434,Anderson's Cross,2010,0,0
1435,Bizarre,2015,0,0
1437,Some Guy Who Kills People,2011,0,0
1439,Death Calls,2010,0,0
1444,Amidst the Devil's Wings,2014,0,0
1447,Teeth and Blood,2015,0,0
1452,Exam,2009,600000,0
1454,Sunday School Musical,2008,0,0
1455,Rust,2010,0,0
1456,Ink,2009,250000,0
1457,The Christmas Bunny,2010,0,0
1458,Butterfly,1982,0,0
1459,UnDivided,2013,0,0
1460,The Frozen,2012,0,0
1461,Horse Camp,2015,0,0
1462,Give Me Shelter,2014,0,136000.0
1465,Western Religion,2015,250000,0
1469,Three,2010,0,0
147,George and the Dragon,2004,0,0
1471,Call + Response,2008,0,0
1473,Reality Show,2015,0,0
1474,Super Hybrid,2010,1300000.0,0
1476,American Beast,2014,0,0
1478,Ordet,1955,0,0
1480,The Man from Earth,2007,200000,0
1482,Samantha: An American Girl Holiday,2004,0,0
1483,Yesterday Was a Lie,2008,200000,0
1484,Theresa Is a Mother,2015,0,0
1485,H.,2014,0,0
1486,Archaeology of a Woman,2014,0,0
1489,The World Is Mine,2015,0,0
1490,Perfect Cowboy,2014,0,0
1493,When the Lights Went Out,2012,0,0
1494,Heroes of Dirt,2015,0,0
1495,A Charlie Brown Christmas,1965,96000,0
1496,Antarctic Edge: 70 South,2015,0,0
1497,Aroused,2013,0,0
1499,An American in Hollywood,2014,0,0
15,The Edge,1997,0,4330000.0
1501,The Blood of My Brother: A Story of Death in Iraq,2005,0,0
1502,A Dog's Breakfast,2007,0,0
1503,The Married Woman,1964,0,0
1509,Dude Where's My Dog?,2014,0,0
1511,Indie Game: The Movie,2012,0,0
1512,Straightheads,2007,180000.0,0
1513,Open Secret,1948,0,0
1514,Echo Dr.,2013,0,0
1515,The Night Visitor,1971,0,0
1518,"I Love You, Don't Touch Me!",1997,0,0
1520,Queen Crab,2015,0,0
1521,The FP,2011,45000,40557
1523,The Brain That Wouldn't Die,1962,62000,0
1524,Tiger Orange,2014,0,0
1528,The Dirties,2013,10000,0
1530,Hayride,2012,0,0
1531,The Naked Ape,2006,0,0
1533,The Call of Cthulhu,2005,0,0
1534,Bending Steel,2013,0,0
1535,The Image Revolution,2013,0,0
1536,This Is Martin Bonner,2013,0,0
1537,A True Story,2013,0,0
1543,"Run, Hide, Die",2015,0,0
1547,Her Cry: La Llorona Investigation,2013,0,0
1551,Manito,2002,25000,0
1552,Rampage,2009,0,0
1554,Dutch Kills,2015,0,0
1555,Dry Spell,2013,0,0
1556,Flywheel,2003,20000,37000
1559,Stories of Our Lives,2014,15000,0
1561,All Superheroes Must Die,2011,20000,0
1564,Tin Can Man,2007,0,0
1566,Sanctuary: Quite a Conundrum,2012,0,0
1570,"Signed, Sealed, Delivered",2013,0,0
1571,Shanghai Calling,2012,0,0
161,Deliver Us from Evil,2014,3000000.0,11280000.0
17,Top Cat Begins,2015,800000.0,0
174,Little Nicholas,2009,2270000.0,6280000.0
176,Animals United,2010,0,0
180,Savva. Heart of the Warrior,2015,0,0
183,Frost/Nixon,2008,2500000.0,2740000.0
188,Divine Secrets of the Ya-Ya Sisterhood,2002,2700000.0,7380000.0
194,The Magic Flute,2006,2700000.0,0
198,Snow White: A Tale of Terror,1997,0,0
20,Carriers,2009,0,580000.0
202,Forbidden Kingdom,2014,0,3890000.0
203,The Face of an Angel,2014,0,0
204,A Madea Christmas,2013,2500000.0,5340000.0
223,Say It Isn't So,2001,2500000.0,1230000.0
228,A Turtle's Tale: Sammy's Adventures,2010,0,0
230,The True Story of Puss 'n Boots,2009,0,0
232,Kung Fu Jungle,2014,0,2330000.0
243,Coco Before Chanel,2009,0,5080000.0
244,Forsaken,2015,1100000.0,0
246,Our Kind of Traitor,2016,400000.0,969999.9999999999
250,Megiddo: The Omega Code 2,2001,2000000.0,600000.0
259,For Colored Girls,2010,2100000.0,3800000.0
264,Madea's Witness Protection,2012,2000000.0,6690000.000000001
267,The Stepfather,2009,2000000.0,3120000.0
292,Willard,2003,2200000.0,850000.0
30,This Is It,2009,6000000.0,26120000.0
309,The Visitors II: The Corridors of Time,1998,0,6600000.0
313,Butterfly on a Wheel,2007,2000000.0,0
315,Ramanujan,2014,0,0
316,Dwegons,2014,0,0
320,The Baader Meinhof Complex,2008,1350000.0,1650000.0
321,Thir13en Ghosts,2001,0,6850000.0
323,Fight Valley,2016,0,0
329,Indignation,2016,0,340000.0
330,Out of Inferno,2013,15000000.0,2411000.0
332,Prom Night,2008,2000000.0,5720000.0
337,Fame,2009,1800000.0,7720000.0
348,The White Ribbon,2009,0,1930000.0
354,Wolves,2014,1800000.0,1210000.0
357,Good Boy!,2003,0,4530000.0
369,Dragon Hunters,2008,0,1224000.0
373,The Master of Disguise,2002,1600000.0,4340000.0
375,Arn: The Knight Templar,2007,21000000.0,0
387,Juwanna Mann,2002,0,1380000.0
392,Three Men and a Baby,1987,0,24000000.0
397,Grosse Pointe Blank,1997,1500000.0,3107000.0
401,The Hills Have Eyes 2,2007,1500000.0,3760000.0
405,VeggieTales: The Pirates Who Don't Do Anything,2008,1500000.0,1320000.0
409,All That Jazz,1979,1200000.0,3779999.9999999995
415,The Love Letter,1998,0,0
42,The Ridiculous 6,2015,6000000.0,0
424,Listening,2015,0,516337
428,Winnie Mandela,2011,0,80634
429,The Son of No One,2011,0,110000.00000000001
430,Bathory: Countess of Blood,2008,0,343700.0
433,Chiamatemi Francesco - Il Papa della gente,2015,0,0
434,Shinjuku Incident,2009,1500000.0,546100.0
437,Crocodile Dundee II,1988,0,23960000.0
439,Good Deeds,2012,1400000.0,3560000.0
442,An American Haunting,2005,1400000.0,2961000.0
455,Wild Grass,2009,0,480000.0
459,Stan Helsing,2009,1400000.0,0
463,National Lampoon's Loaded Weapon 1,1993,819999.9999999999,5100000.0
473,The Widow of Saint-Pierre,2000,1300000.0,707400.0
478,Womb,2010,0,0
483,Tae Guk Gi: The Brotherhood of War,2004,1280000.0,6980000.0
503,The Pursuit of D.B. Cooper,1981,1400000.0,370000.0
511,The Life Before Her Eyes,2007,1300000.0,724800.0
516,"A Woman, a Gun and a Noodle Shop",2009,1200000.0,3860000.0
517,Cypher,2002,0,0
