index,budget,revenue,runtime,profitability,weighted_rating,popularity
budget,1.0,0.7204262484789676,0.24820999930639992,0.024615798394226337,0.11699709755697561,0.476106308068972
revenue,0.7204262484789676,1.0,0.2388523964241394,0.018269597561131563,0.12218328029925096,0.6330980463263307
runtime,0.24820999930639992,0.2388523964241394,1.0,0.02477350431360742,0.34641972203044497,0.20433273443646985
profitability,0.024615798394226337,0.018269597561131563,0.02477350431360742,1.0,0.0034999748635445955,0.018141589997888563
weighted_rating,0.11699709755697561,0.12218328029925096,0.34641972203044497,0.0034999748635445955,1.0,0.21798076915310657
popularity,0.476106308068972,0.6330980463263307,0.20433273443646985,0.018141589997888563,0.21798076915310657,1.0
